2026-03-17 10:30:50,407 [nas_search_space] INFO: SearchSpace: layers=[2, 3, 4, 5, 6], dims=[32, 64, 128, 256], heads=[1, 2, 4, 8], ops=['linear', 'conv1d', 'attention', 'skip', 'none']
2026-03-17 10:30:51,840 [nas_search_space] INFO: SearchSpace: layers=[2, 3, 4, 5, 6], dims=[32, 64, 128, 256], heads=[1, 2, 4, 8], ops=['linear', 'conv1d', 'attention', 'skip', 'none']
2026-03-17 10:30:52,279 [nas_search_space] INFO: SearchSpace: layers=[2, 3, 4, 5, 6], dims=[32, 64, 128, 256], heads=[1, 2, 4, 8], ops=['linear', 'conv1d', 'attention', 'skip', 'none']
2026-03-17 10:30:52,725 [nas_search_space] INFO: SearchSpace: layers=[2, 3, 4, 5, 6], dims=[32, 64, 128, 256], heads=[1, 2, 4, 8], ops=['linear', 'conv1d', 'attention', 'skip', 'none']
2026-03-17 10:30:58,081 [nas_search_space] INFO: SearchSpace: layers=[2, 3, 4, 5, 6], dims=[32, 64, 128, 256], heads=[1, 2, 4, 8], ops=['linear', 'conv1d', 'attention', 'skip', 'none']
2026-03-17 10:30:58,834 [nas_search_space] INFO: SearchSpace: layers=[2, 3, 4, 5, 6], dims=[32, 64, 128, 256], heads=[1, 2, 4, 8], ops=['linear', 'conv1d', 'attention', 'skip', 'none']
2026-03-17 10:31:03,884 [nas_search_space] INFO: SearchSpace: layers=[2, 3, 4, 5, 6], dims=[32, 64, 128, 256], heads=[1, 2, 4, 8], ops=['linear', 'conv1d', 'attention', 'skip', 'none']
2026-03-17 10:31:03,927 [nas_search_space] INFO: SearchSpace: layers=[2, 3, 4, 5, 6], dims=[32, 64, 128, 256], heads=[1, 2, 4, 8], ops=['linear', 'conv1d', 'attention', 'skip', 'none']
2026-03-17 10:31:41,301 [nas_search_space] INFO: SearchSpace: layers=[2, 3, 4, 5, 6], dims=[32, 64, 128, 256], heads=[1, 2, 4, 8], ops=['linear', 'conv1d', 'attention', 'skip', 'none']
2026-03-17 10:31:42,801 [nas_search_space] INFO: SearchSpace: layers=[2, 3, 4, 5, 6], dims=[32, 64, 128, 256], heads=[1, 2, 4, 8], ops=['linear', 'conv1d', 'attention', 'skip', 'none']
2026-03-17 10:31:43,287 [nas_search_space] INFO: SearchSpace: layers=[2, 3, 4, 5, 6], dims=[32, 64, 128, 256], heads=[1, 2, 4, 8], ops=['linear', 'conv1d', 'attention', 'skip', 'none']
2026-03-17 10:31:43,807 [nas_search_space] INFO: SearchSpace: layers=[2, 3, 4, 5, 6], dims=[32, 64, 128, 256], heads=[1, 2, 4, 8], ops=['linear', 'conv1d', 'attention', 'skip', 'none']
2026-03-17 10:31:44,676 [nas_search_space] INFO: SearchSpace: layers=[2, 3, 4, 5, 6], dims=[32, 64, 128, 256], heads=[1, 2, 4, 8], ops=['linear', 'conv1d', 'attention', 'skip', 'none']
2026-03-17 10:31:45,435 [nas_search_space] INFO: SearchSpace: layers=[2, 3, 4, 5, 6], dims=[32, 64, 128, 256], heads=[1, 2, 4, 8], ops=['linear', 'conv1d', 'attention', 'skip', 'none']
2026-03-17 10:31:49,507 [nas_search_space] INFO: SearchSpace: layers=[2, 3, 4, 5, 6], dims=[32, 64, 128, 256], heads=[1, 2, 4, 8], ops=['linear', 'conv1d', 'attention', 'skip', 'none']
2026-03-17 10:31:49,556 [nas_search_space] INFO: SearchSpace: layers=[2, 3, 4, 5, 6], dims=[32, 64, 128, 256], heads=[1, 2, 4, 8], ops=['linear', 'conv1d', 'attention', 'skip', 'none']
